"State","Year","Adults who Engage in No Leisure-time Exercise (%)"
"MT",2020,18.9
"NJ",2020,18.9
"CA",2020,18.9
"CO",2017,18.9
"VT",2017,18.9
"SD",2017,18.9
"MT",2014,18.9
"WA",2015,18.9
"VT",2013,18.9
"CA",2017,18.9
"UT",2015,18.9
"CA",2017,18.9
"LA",2019,18.9
"NH",2019,18.9
"CA",2019,18.9
"ID",2012,18.9
"WA",2011,18.9
"MI",2019,18.9
"AZ",2011,18.9
"CA",2014,18.9
"AK",2011,18.9
"MO",2012,18.9
"UT",2011,18.9
"WI",2015,18.9
"NC",2014,18.9
"MO",2015,18.9
"MT",2015,18.9
"NM",2015,18.9
"MD",2014,18.9
"WA",2013,18.9
"VT",2015,18.9
"OR",2016,18.9
"WA",2016,18.9
"SD",2016,18.9
"CA",2016,18.9
"MO",2016,18.9
"SD",2016,18.9
"TX",2021,18.9
"MD",2021,18.9
"OR",2021,18.9
"DE",2021,18.9
"NM",2021,18.9
"MD",2021,18.9
"CA",2021,18.9
"AK",2021,18.9
"TX",2021,18.9
"ID",2021,18.9
"MA",2022,18.9
"MN",2022,18.9
"MS",2022,18.9
"NJ",2022,18.9
"ME",2018,19
"ID",2018,19
"ID",2018,19
"AK",2018,19
"NM",2018,19
"ID",2018,19
"WA",2018,19
"NV",2018,19
"VA",2018,19
"IL",2020,19
"CA",2020,19
"NE",2020,19
"RI",2020,19
"OR",2020,19
"NC",2020,19
"SC",2020,19
"WI",2020,19
"WA",2012,19
"AL",2014,19
"MN",2014,19
"OR",2012,19
"MN",2019,19
"IA",2019,19
"VT",2012,19
"DE",2013,19
"TX",2019,19
"MN",2019,19
"ND",2014,19
"MD",2012,19
"AZ",2014,19
"IL",2014,19
"CT",2012,19
"WA",2015,19
"KS",2012,19
"NV",2012,19
"RI",2012,19
"CA",2011,19
"SD",2014,19
"MD",2014,19
"ID",2011,19
"FL",2012,19
"VT",2014,19
"ID",2016,19
"SD",2016,19
"IL",2016,19
"CO",2016,19
"MN",2021,19
"ID",2021,19
"MI",2021,19
"VT",2021,19
"IA",2021,19
"MN",2021,19
"NC",2021,19
"CO",2021,19
"NM",2021,19
"IN",2022,19
"MI",2022,19
"MN",2022,19
"MN",2022,19
"OH",2022,19
"OR",2022,19
"WI",2022,19
"SC",2016,19.1
"NV",2018,19.1
"OR",2018,19.1
"RI",2018,19.1
"MI",2020,19.1
"KS",2020,19.1
"ID",2020,19.1
"MI",2020,19.1
"MN",2020,19.1
"AK",2017,19.1
"NM",2017,19.1
"CO",2013,19.1
"RI",2014,19.1
"MD",2015,19.1
"SC",2014,19.1
"WI",2011,19.1
"CA",2011,19.1
"CO",2015,19.1
"GA",2013,19.1
"OR",2014,19.1
"NH",2014,19.1
"CO",2014,19.1
"CT",2019,19.1
"IN",2014,19.1
"VT",2011,19.1
"TX",2011,19.1
"CT",2012,19.1
"NY",2012,19.1
"IN",2019,19.1
"CO",2019,19.1
"FL",2015,19.1
"TN",2012,19.1
"OH",2014,19.1
"NE",2012,19.1
"KY",2015,19.1
"CA",2014,19.1
"FL",2011,19.1
"NM",2012,19.1
"CA",2011,19.1
"ME",2013,19.1
"OK",2011,19.1
"AK",2016,19.1
"DE",2016,19.1
"WI",2016,19.1
"AK",2016,19.1
"WV",2016,19.1
"VT",2016,19.1
"AZ",2016,19.1
"NE",2016,19.1
"NH",2016,19.1
"MT",2021,19.1
"CO",2021,19.1
"RI",2021,19.1
"VA",2021,19.1
"RI",2021,19.1
"MD",2022,19.1
"MS",2022,19.1
"SD",2022,19.1
"VA",2022,19.1
"WI",2022,19.1
"WV",2022,19.1
"CA",2018,19.2
"AZ",2018,19.2
"UT",2018,19.2
"TX",2018,19.2
"OK",2018,19.2
"MN",2018,19.2
"CA",2018,19.2
"TX",2018,19.2
"MT",2018,19.2
"ID",2018,19.2
"NM",2018,19.2
"HI",2020,19.2
"SD",2020,19.2
"HI",2020,19.2
"MI",2020,19.2
"WI",2020,19.2
"DE",2017,19.2
"WA",2017,19.2
"WA",2017,19.2
"OH",2017,19.2
"MA",2017,19.2
"NJ",2017,19.2
"UT",2012,19.2
"NE",2013,19.2
"UT",2013,19.2
"CA",2012,19.2
"NH",2012,19.2
"TX",2015,19.2
"MI",2011,19.2
"MD",2013,19.2
"MT",2014,19.2
"WA",2019,19.2
"MT",2019,19.2
"WA",2019,19.2
"AK",2014,19.2
"OR",2015,19.2
"ND",2019,19.2
"NM",2014,19.2
"TX",2013,19.2
"FL",2012,19.2
"MT",2011,19.2
"GA",2011,19.2
"NH",2012,19.2
"VT",2012,19.2
"AZ",2014,19.2
"ME",2015,19.2
"ME",2014,19.2
"OH",2013,19.2
"NJ",2014,19.2
"MT",2013,19.2
"AK",2011,19.2
"HI",2016,19.2
"VT",2016,19.2
"MD",2016,19.2
"VT",2016,19.2
"AZ",2021,19.2
"MN",2021,19.2
"WI",2021,19.2
"WA",2021,19.2
"MD",2021,19.2
"OR",2021,19.2
"AZ",2021,19.2
"AK",2022,19.2
"AK",2022,19.2
"IL",2022,19.2
"MN",2022,19.2
"MS",2022,19.2
"MT",2022,19.2
"OR",2018,19.3
"NH",2018,19.3
"AK",2018,19.3
"KY",2018,19.3
"IA",2018,19.3
"OH",2018,19.3
"NH",2020,19.3
"MI",2017,19.3
"GA",2017,19.3
"OK",2017,19.3
"AR",2017,19.3
"NM",2013,19.3
"ME",2011,19.3
"IN",2015,19.3
"SD",2017,19.3
"PA",2017,19.3
"NH",2014,19.3
"WA",2019,19.3
"MT",2019,19.3
"MT",2012,19.3
"MT",2019,19.3
"MD",2011,19.3
"CO",2013,19.3
"MD",2019,19.3
"WA",2019,19.3
"MD",2012,19.3
"AZ",2014,19.3
"KS",2013,19.3
"WI",2014,19.3
"MD",2014,19.3
"WI",2015,19.3
"CA",2014,19.3
"AZ",2014,19.3
"NH",2014,19.3
"CT",2012,19.3
"CO",2012,19.3
"ID",2015,19.3
"NV",2011,19.3
"MT",2016,19.3
"WI",2016,19.3
"AK",2016,19.3
"NE",2016,19.3
"KS",2016,19.3
"AR",2016,19.3
"MT",2016,19.3
"MT",2016,19.3
"WA",2016,19.3
"NH",2016,19.3
"CT",2021,19.3
"KS",2021,19.3
"AL",2021,19.3
"GA",2021,19.3
"TX",2021,19.3
"MD",2021,19.3
"MI",2021,19.3
"AZ",2022,19.3
"CA",2022,19.3
"IA",2022,19.3
"MT",2022,19.3
"PA",2022,19.3
"RI",2022,19.3
"VA",2022,19.3
"VT",2018,19.4
"ID",2018,19.4
"HI",2018,19.4
"AK",2018,19.4
"IL",2018,19.4
"VA",2020,19.4
"MT",2020,19.4
"PA",2020,19.4
"AK",2016,19.4
"TX",2016,19.4
"ME",2020,19.4
"WV",2020,19.4
"UT",2017,19.4
"ND",2017,19.4
"FL",2017,19.4
"SD",2014,19.4
"HI",2015,19.4
"VA",2014,19.4
"OR",2013,19.4
"WI",2014,19.4
"HI",2017,19.4
"NH",2013,19.4
"NY",2017,19.4
"IN",2019,19.4
"NH",2019,19.4
"UT",2019,19.4
"CT",2011,19.4
"ID",2012,19.4
"AZ",2019,19.4
"NJ",2012,19.4
"AK",2019,19.4
"HI",2015,19.4
"AZ",2012,19.4
"OK",2012,19.4
"NJ",2013,19.4
"OR",2013,19.4
"MD",2014,19.4
"PA",2014,19.4
"VA",2012,19.4
"VT",2011,19.4
"AK",2015,19.4
"MA",2014,19.4
"TX",2014,19.4
"FL",2016,19.4
"MA",2016,19.4
"CO",2016,19.4
"OR",2016,19.4
"PA",2016,19.4
"AZ",2016,19.4
"MS",2016,19.4
"MD",2021,19.4
"IN",2021,19.4
"NM",2021,19.4
"AZ",2021,19.4
"NM",2021,19.4
"OK",2021,19.4
"AK",2021,19.4
"CO",2021,19.4
"PA",2021,19.4
"ID",2021,19.4
"OR",2021,19.4
"UT",2021,19.4
"IL",2022,19.4
"KS",2022,19.4
"MA",2022,19.4
"MD",2022,19.4
"MT",2022,19.4
"NH",2022,19.4
"NJ",2022,19.4
"RI",2022,19.4
"CT",2018,19.5
"CA",2018,19.5
"OR",2016,19.5
"VT",2018,19.5
"CT",2018,19.5
"FL",2018,19.5
"MI",2018,19.5
"CT",2020,19.5
"NE",2020,19.5
"MD",2020,19.5
"RI",2020,19.5
"HI",2020,19.5
"MT",2020,19.5
"AK",2020,19.5
"NE",2020,19.5
"ID",2020,19.5
"OH",2013,19.5
"ME",2014,19.5
"UT",2011,19.5
"CO",2017,19.5
"PA",2014,19.5
"ME",2012,19.5
"NH",2012,19.5
"WY",2019,19.5
"OK",2011,19.5
"NV",2011,19.5
"WI",2012,19.5
"MN",2011,19.5
"MT",2014,19.5
"MI",2011,19.5
"OR",2015,19.5
"CA",2012,19.5
"NV",2014,19.5
"WV",2012,19.5
"MN",2015,19.5
"NM",2012,19.5
"SD",2014,19.5
"WI",2014,19.5
"HI",2016,19.5
"VT",2016,19.5
"CT",2016,19.5
"TX",2016,19.5
"WY",2016,19.5
"NH",2021,19.5
"MA",2021,19.5
"AK",2021,19.5
"VA",2021,19.5
"NC",2021,19.5
"MS",2021,19.5
"AK",2022,19.5
"CO",2022,19.5
"CT",2022,19.5
"DE",2022,19.5
"ID",2022,19.5
"MD",2022,19.5
"MO",2022,19.5
"NC",2022,19.5
"NJ",2022,19.5
"NM",2022,19.5
"CA",2014,19.6
"UT",2018,19.6
"AK",2018,19.6
"WY",2018,19.6
"WI",2020,19.6
"MD",2016,19.6
"OR",2020,19.6
"ID",2020,19.6
"ND",2020,19.6
"NM",2020,19.6
"NY",2020,19.6
"OR",2020,19.6
"AK",2017,19.6
"CT",2017,19.6
"NH",2012,19.6
"MD",2014,19.6
"OR",2013,19.6
"SC",2014,19.6
"AK",2015,19.6
"AZ",2014,19.6
"IA",2014,19.6
"HI",2013,19.6
"ID",2012,19.6
"CO",2013,19.6
"VA",2014,19.6
"GA",2017,19.6
"TX",2012,19.6
"DE",2017,19.6
"AK",2017,19.6
"IL",2017,19.6
"CT",2017,19.6
"MT",2011,19.6
"NV",2012,19.6
"IN",2012,19.6
"VA",2012,19.6
"NC",2011,19.6
"AK",2019,19.6
"MN",2019,19.6
"CO",2019,19.6
"MT",2014,19.6
"AL",2019,19.6
"MN",2019,19.6
"VT",2019,19.6
"WA",2015,19.6
"AR",2019,19.6
"NJ",2014,19.6
"WA",2012,19.6
"HI",2012,19.6
"VA",2014,19.6
"CA",2015,19.6
"HI",2014,19.6
"UT",2013,19.6
"MT",2014,19.6
"MN",2013,19.6
"VA",2011,19.6
"MI",2012,19.6
"SD",2015,19.6
"AL",2011,19.6
"CT",2016,19.6
"NH",2016,19.6
"ME",2016,19.6
"IA",2016,19.6
"RI",2016,19.6
"IA",2016,19.6
"CT",2016,19.6
"IA",2016,19.6
"HI",2021,19.6
"NC",2021,19.6
"NJ",2021,19.6
"NV",2021,19.6
"NM",2021,19.6
"CA",2022,19.6
"KS",2022,19.6
"MA",2022,19.6
"MA",2022,19.6
"MT",2022,19.6
"OR",2022,19.6
"SD",2022,19.6
"VA",2022,19.6
"WI",2022,19.6
"WI",2022,19.6
"MN",2018,19.7
"IL",2018,19.7
"TN",2018,19.7
"WA",2020,19.7
"VT",2020,19.7
"RI",2020,19.7
"CO",2020,19.7
"WI",2017,19.7
"NJ",2017,19.7
"ME",2017,19.7
"TX",2013,19.7
"UT",2013,19.7
"WY",2012,19.7
"NV",2013,19.7
"MS",2012,19.7
"KS",2014,19.7
"HI",2017,19.7
"TX",2015,19.7
"NV",2011,19.7
"MN",2019,19.7
"NH",2012,19.7
"UT",2019,19.7
"WY",2013,19.7
"IL",2019,19.7
"NC",2019,19.7
"MT",2019,19.7
"FL",2015,19.7
"MN",2011,19.7
"WA",2019,19.7
"NE",2019,19.7
"CT",2012,19.7
"UT",2015,19.7
"ID",2012,19.7
"MN",2012,19.7
"CO",2012,19.7
"NV",2012,19.7
"CO",2012,19.7
"ME",2014,19.7
"ID",2015,19.7
"RI",2014,19.7
"KY",2022,19.7
"MN",2016,19.7
"MD",2016,19.7
"AR",2016,19.7
"KY",2021,19.7
"WY",2021,19.7
"AZ",2021,19.7
"HI",2021,19.7
"CA",2022,19.7
"GA",2022,19.7
"IA",2022,19.7
"ID",2022,19.7
"MN",2022,19.7
"NM",2022,19.7
"TX",2022,19.7
"VT",2022,19.7
"WY",2022,19.7
"IL",2016,19.8
"MA",2018,19.8
"MN",2018,19.8
"AZ",2016,19.8
"WA",2018,19.8
"NH",2018,19.8
"VA",2020,19.8
"CT",2020,19.8
"MT",2020,19.8
"MN",2020,19.8
"WY",2017,19.8
"OR",2013,19.8
"NV",2014,19.8
"WA",2013,19.8
"CA",2012,19.8
"MA",2012,19.8
"MD",2015,19.8
"IN",2012,19.8
"LA",2017,19.8
"AK",2017,19.8
"SD",2015,19.8
"WY",2019,19.8
"OR",2019,19.8
"MN",2019,19.8
"CO",2019,19.8
"MA",2012,19.8
"VT",2019,19.8
"ID",2019,19.8
"CO",2013,19.8
"IL",2014,19.8
"WA",2013,19.8
"ME",2013,19.8
"VT",2014,19.8
"ID",2011,19.8
"KY",2013,19.8
"OR",2011,19.8
"CA",2011,19.8
"GA",2016,19.8
"NC",2016,19.8
"ND",2016,19.8
"MS",2021,19.8
"AL",2021,19.8
"NV",2021,19.8
"MO",2021,19.8
"AR",2021,19.8
"WI",2021,19.8
"GA",2021,19.8
"VT",2022,19.8
"WI",2022,19.8
"VA",2018,19.9
"WI",2018,19.9
"UT",2018,19.9
"NY",2018,19.9
"MN",2018,19.9
"HI",2018,19.9
"WI",2018,19.9
"MN",2020,19.9
"CT",2020,19.9
"FL",2020,19.9
"ID",2020,19.9
"MA",2020,19.9
"HI",2020,19.9
"MA",2020,19.9
"CO",2020,19.9
"VT",2013,19.9
"MD",2017,19.9
"GA",2017,19.9
"HI",2014,19.9
"CA",2015,19.9
"SD",2013,19.9
"MN",2015,19.9
"SD",2015,19.9
"CA",2015,19.9
"NV",2019,19.9
"DE",2019,19.9
"NM",2019,19.9
"MT",2015,19.9
"MN",2019,19.9
"AK",2019,19.9
"MI",2019,19.9
"CT",2014,19.9
"MT",2012,19.9
"CA",2015,19.9
"NC",2012,19.9
"AR",2011,19.9
"ND",2011,19.9
"ID",2011,19.9
"GA",2014,19.9
"VT",2011,19.9
"MN",2013,19.9
"ID",2014,19.9
"KS",2012,19.9
"TN",2014,19.9
"WI",2014,19.9
"WA",2013,19.9
"MN",2013,19.9
"NJ",2014,19.9
"UT",2015,19.9
"NE",2014,19.9
"IA",2013,19.9
"RI",2012,19.9
"VA",2016,19.9
"NJ",2016,19.9
"AZ",2016,19.9
"CT",2016,19.9
"MT",2016,19.9
"ID",2021,19.9
"MN",2021,19.9
"CA",2021,19.9
"OR",2021,19.9
"NY",2021,19.9
"HI",2021,19.9
"SD",2021,19.9
"GA",2021,19.9
"TN",2021,19.9
"CO",2021,19.9
"OR",2021,19.9
"CA",2022,19.9
"NH",2022,19.9
"NM",2022,19.9
"PA",2022,19.9
"RI",2022,19.9
"MA",2016,20
"VT",2018,20
"NE",2018,20
"CT",2018,20
"CA",2018,20
"TN",2016,20
"CT",2018,20
"NC",2016,20
"NY",2020,20
"DE",2020,20
"IA",2020,20
"MN",2017,20
"CA",2017,20
"NJ",2017,20
"IA",2017,20
"WA",2017,20
"CO",2017,20
"WA",2017,20
"HI",2017,20
"MT",2015,20
"AZ",2011,20
"RI",2012,20
"CT",2012,20
"HI",2011,20
"ID",2015,20
"NH",2012,20
"ME",2012,20
"WA",2013,20
"VT",2012,20
"CO",2017,20
"NC",2017,20
"OR",2017,20
"NH",2019,20
"IL",2019,20
"PA",2019,20
"MT",2019,20
"MT",2019,20
"MA",2013,20
"SD",2019,20
"WA",2013,20
"NE",2014,20
"OR",2013,20
"OR",2015,20
"VT",2019,20
"MT",2013,20
"VT",2011,20
"WA",2012,20
"NV",2014,20
"IA",2012,20
"UT",2011,20
"CA",2011,20
"MT",2011,20
"WI",2013,20
"RI",2012,20
"IL",2012,20
"CA",2015,20
"WI",2016,20
"UT",2016,20
"VT",2016,20
"HI",2016,20
"NC",2016,20
"MA",2021,20
"ID",2021,20
"IL",2021,20
"HI",2021,20
"NH",2021,20
"NC",2021,20
"NH",2021,20
"FL",2022,20
"GA",2022,20
"ID",2022,20
"NH",2022,20
"NJ",2022,20
"MD",2020,20.1
"NM",2018,20.1
"OR",2018,20.1
"WA",2018,20.1
"HI",2018,20.1
"MO",2018,20.1
"NE",2018,20.1
"CT",2018,20.1
"MS",2018,20.1
"RI",2020,20.1
"ME",2020,20.1
"MD",2016,20.1
"SC",2020,20.1
"UT",2020,20.1
"MD",2020,20.1
"WI",2017,20.1
"VA",2012,20.1
"IL",2013,20.1
"AK",2011,20.1
"MA",2014,20.1
"CT",2015,20.1
"AK",2012,20.1
"CA",2011,20.1
"NC",2017,20.1
"AZ",2012,20.1
"UT",2017,20.1
"WI",2015,20.1
"MA",2014,20.1
"AR",2019,20.1
"MN",2019,20.1
"ID",2012,20.1
"HI",2013,20.1
"FL",2013,20.1
"NE",2012,20.1
"FL",2019,20.1
"NJ",2014,20.1
"VT",2011,20.1
"AZ",2015,20.1
"MT",2012,20.1
"IL",2012,20.1
"FL",2012,20.1
"AR",2011,20.1
"ND",2013,20.1
"VA",2015,20.1
"MD",2012,20.1
"OR",2015,20.1
"ID",2011,20.1
"CT",2012,20.1
"NC",2013,20.1
"AL",2011,20.1
"ND",2014,20.1
"SD",2016,20.1
"VA",2016,20.1
"AR",2016,20.1
"MI",2022,20.1
"MO",2021,20.1
"MI",2021,20.1
"IL",2021,20.1
"OR",2021,20.1
"CA",2021,20.1
"AK",2021,20.1
"DE",2022,20.1
"GA",2022,20.1
"IL",2022,20.1
"OR",2022,20.1
"RI",2022,20.1
"VA",2022,20.1
"WY",2022,20.1
"KS",2018,20.2
"CT",2018,20.2
"KS",2018,20.2
"MA",2018,20.2
"FL",2018,20.2
"MT",2018,20.2
"ME",2018,20.2
"AZ",2018,20.2
"NJ",2018,20.2
"VA",2020,20.2
"NC",2020,20.2
"CA",2020,20.2
"OR",2020,20.2
"UT",2020,20.2
"AZ",2020,20.2
"VT",2020,20.2
"ID",2017,20.2
"AK",2017,20.2
"WA",2017,20.2
"WA",2017,20.2
"MO",2017,20.2
"WY",2014,20.2
"CA",2015,20.2
"WI",2014,20.2
"VA",2012,20.2
"NV",2013,20.2
"CA",2015,20.2
"AL",2014,20.2
"CO",2011,20.2
"CO",2017,20.2
"OH",2011,20.2
"MD",2019,20.2
"TX",2019,20.2
"MI",2014,20.2
"MD",2013,20.2
"VT",2019,20.2
"MI",2012,20.2
"MN",2014,20.2
"NE",2012,20.2
"GA",2014,20.2
"CA",2013,20.2
"TN",2013,20.2
"WI",2012,20.2
"ME",2014,20.2
"CT",2015,20.2
"VT",2013,20.2
"ID",2015,20.2
"FL",2012,20.2
"NE",2012,20.2
"ME",2014,20.2
"OR",2013,20.2
"CO",2011,20.2
"NV",2013,20.2
"MD",2014,20.2
"WI",2013,20.2
"ID",2016,20.2
"MN",2016,20.2
"ME",2022,20.2
"MO",2021,20.2
"MN",2021,20.2
"UT",2021,20.2
"AZ",2022,20.2
"HI",2022,20.2
"HI",2022,20.2
"MA",2022,20.2
"NV",2022,20.2
"PA",2022,20.2
"OR",2018,20.3
"AL",2018,20.3
"ND",2018,20.3
"NH",2018,20.3
"UT",2018,20.3
"CO",2018,20.3
"NE",2018,20.3
"SD",2018,20.3
"NM",2020,20.3
"AK",2020,20.3
"NH",2020,20.3
"IN",2016,20.3
"RI",2020,20.3
"VT",2020,20.3
"WY",2020,20.3
"WI",2017,20.3
"OR",2017,20.3
"CO",2017,20.3
"NY",2012,20.3
"KS",2017,20.3
"TX",2013,20.3
"IN",2013,20.3
"VT",2014,20.3
"MA",2014,20.3
"WY",2014,20.3
"NH",2014,20.3
"VA",2014,20.3
"OR",2017,20.3
"UT",2017,20.3
"MT",2019,20.3
"AK",2014,20.3
"MA",2019,20.3
"NE",2014,20.3
"NC",2019,20.3
"MT",2012,20.3
"WA",2011,20.3
"UT",2015,20.3
"CT",2019,20.3
"LA",2011,20.3
"AZ",2012,20.3
"WA",2013,20.3
"NM",2014,20.3
"MN",2012,20.3
"AR",2012,20.3
"MO",2014,20.3
"VT",2013,20.3
"NM",2014,20.3
"FL",2014,20.3
"ID",2012,20.3
"HI",2014,20.3
"CA",2015,20.3
"PA",2015,20.3
"NM",2012,20.3
"CA",2014,20.3
"WY",2016,20.3
"RI",2016,20.3
"OH",2016,20.3
"UT",2016,20.3
"CT",2016,20.3
"NM",2016,20.3
"PA",2021,20.3
"ID",2021,20.3
"MO",2021,20.3
"RI",2021,20.3
"WI",2021,20.3
"AK",2021,20.3
"NC",2021,20.3
"TN",2021,20.3
"NJ",2021,20.3
"MN",2021,20.3
"CT",2022,20.3
"MN",2022,20.3
"OH",2022,20.3
"OH",2022,20.3
"MD",2018,20.4
"NH",2018,20.4
"IA",2018,20.4
"FL",2018,20.4
"WA",2018,20.4
"PA",2017,20.4
"MA",2018,20.4
"MA",2018,20.4
"MO",2018,20.4
"MA",2018,20.4
"OK",2018,20.4
"NC",2018,20.4
"MS",2020,20.4
"AZ",2020,20.4
"MN",2020,20.4
"AZ",2020,20.4
"FL",2017,20.4
"OR",2017,20.4
"HI",2017,20.4
"HI",2013,20.4
"OR",2011,20.4
"MD",2014,20.4
"MO",2012,20.4
"WI",2012,20.4
"NV",2017,20.4
"NV",2013,20.4
"WY",2017,20.4
"ID",2012,20.4
"VT",2019,20.4
"NY",2015,20.4
"LA",2019,20.4
"OH",2014,20.4
"GA",2012,20.4
"DE",2012,20.4
"GA",2019,20.4
"NY",2019,20.4
"NE",2012,20.4
"AZ",2012,20.4
"WI",2011,20.4
"SC",2013,20.4
"AZ",2014,20.4
"CA",2013,20.4
"TN",2011,20.4
"AR",2015,20.4
"WA",2014,20.4
"PA",2012,20.4
"UT",2016,20.4
"TN",2016,20.4
"OH",2016,20.4
"SC",2016,20.4
"UT",2021,20.4
"MN",2021,20.4
"WA",2021,20.4
"NM",2021,20.4
"NH",2021,20.4
"PA",2021,20.4
"NM",2021,20.4
"IN",2021,20.4
"GA",2021,20.4
"FL",2022,20.4
"NC",2022,20.4
"NC",2022,20.4
"NJ",2022,20.4
"WI",2022,20.4
"WI",2022,20.4
"MT",2018,20.5
"MD",2018,20.5
"OR",2018,20.5
"ID",2018,20.5
"MN",2018,20.5
"ME",2016,20.5
"CA",2020,20.5
"KS",2020,20.5
"ME",2020,20.5
"WI",2020,20.5
"MS",2020,20.5
"MT",2020,20.5
"TX",2020,20.5
"IA",2020,20.5
"ID",2020,20.5
"MO",2020,20.5
"MS",2020,20.5
"AZ",2017,20.5
"OH",2017,20.5
"TN",2014,20.5
"VT",2013,20.5
"MO",2014,20.5
"CA",2013,20.5
"MS",2012,20.5
"RI",2014,20.5
"CO",2012,20.5
"AZ",2015,20.5
"CA",2019,20.5
"WI",2019,20.5
"CA",2012,20.5
"OH",2013,20.5
"LA",2014,20.5
"VT",2013,20.5
"CA",2019,20.5
"TN",2012,20.5
"WY",2014,20.5
"AK",2013,20.5
"NM",2013,20.5
"AR",2013,20.5
"MT",2012,20.5
"AZ",2013,20.5
"AR",2015,20.5
"WY",2012,20.5
"NV",2016,20.5
"CA",2016,20.5
"NV",2016,20.5
"MT",2016,20.5
"OH",2016,20.5
"CA",2016,20.5
"KS",2016,20.5
"TN",2021,20.5
"WY",2021,20.5
"OH",2021,20.5
"CO",2021,20.5
"HI",2021,20.5
"MO",2021,20.5
"ID",2021,20.5
"CT",2021,20.5
"MN",2022,20.5
"MN",2022,20.5
"MO",2022,20.5
"MO",2022,20.5
"NM",2022,20.5
"PA",2022,20.5
"SC",2022,20.5
"VT",2022,20.5
"MT",2018,20.6
"MD",2018,20.6
"WV",2018,20.6
"MD",2020,20.6
"RI",2020,20.6
"NJ",2020,20.6
"ME",2016,20.6
"CT",2020,20.6
"VA",2020,20.6
"DE",2020,20.6
"IN",2020,20.6
"CO",2017,20.6
"AK",2017,20.6
"VT",2011,20.6
"CT",2013,20.6
"NV",2011,20.6
"WI",2013,20.6
"SD",2014,20.6
"OK",2015,20.6
"WY",2012,20.6
"FL",2014,20.6
"ID",2015,20.6
"WY",2014,20.6
"IL",2017,20.6
"VA",2011,20.6
"SD",2012,20.6
"IL",2013,20.6
"ME",2012,20.6
"RI",2014,20.6
"DE",2012,20.6
"NC",2012,20.6
"IL",2012,20.6
"HI",2011,20.6
"AK",2012,20.6
"MO",2012,20.6
"SC",2014,20.6
"UT",2013,20.6
"AL",2012,20.6
"CT",2014,20.6
"ND",2012,20.6
"NY",2012,20.6
"UT",2012,20.6
"NM",2015,20.6
"NH",2011,20.6
"GA",2014,20.6
"IA",2013,20.6
"CO",2015,20.6
"ID",2011,20.6
"PA",2013,20.6
"NV",2014,20.6
"HI",2016,20.6
"IL",2022,20.6
"UT",2016,20.6
"NM",2016,20.6
"NH",2016,20.6
"OH",2016,20.6
"ME",2021,20.6
"TX",2021,20.6
"SD",2021,20.6
"AR",2021,20.6
"SC",2021,20.6
"WY",2021,20.6
"HI",2022,20.6
"NJ",2022,20.6
"WI",2022,20.6
"IL",2016,20.7
"WY",2018,20.7
"MD",2018,20.7
"SD",2018,20.7
"WI",2018,20.7
"NV",2018,20.7
"MI",2018,20.7
"IA",2018,20.7
"MT",2020,20.7
"MN",2016,20.7
"MA",2020,20.7
"NC",2020,20.7
"VA",2020,20.7
"CA",2020,20.7
"CA",2017,20.7
"AK",2012,20.7
"MI",2012,20.7
"IN",2011,20.7
"AL",2015,20.7
"MI",2011,20.7
"NH",2011,20.7
"IL",2014,20.7
"NY",2014,20.7
"WA",2017,20.7
"MI",2015,20.7
"NM",2015,20.7
"SC",2017,20.7
"MN",2015,20.7
"KS",2012,20.7
"OR",2019,20.7
"WI",2019,20.7
"MT",2019,20.7
"ME",2019,20.7
"MD",2019,20.7
"NM",2013,20.7
"WI",2015,20.7
"KS",2012,20.7
"OK",2015,20.7
"DE",2014,20.7
"OK",2013,20.7
"ND",2015,20.7
"AZ",2011,20.7
"NY",2015,20.7
"MN",2011,20.7
"MA",2011,20.7
"CA",2014,20.7
"IN",2012,20.7
"ME",2013,20.7
"AZ",2013,20.7
"WI",2015,20.7
"UT",2016,20.7
"AZ",2016,20.7
"VA",2016,20.7
"NE",2016,20.7
"NM",2021,20.7
"MT",2021,20.7
"CT",2021,20.7
"NV",2021,20.7
"CA",2021,20.7
"CT",2021,20.7
"NY",2021,20.7
"DE",2022,20.7
"IL",2022,20.7
"NC",2022,20.7
"NH",2022,20.7
"NV",2022,20.7
"VT",2022,20.7
"WI",2022,20.7
"VA",2018,20.8
"NY",2018,20.8
"PA",2018,20.8
"IN",2018,20.8
"OR",2018,20.8
"IA",2020,20.8
"TX",2020,20.8
"WY",2020,20.8
"NE",2020,20.8
"HI",2020,20.8
"KS",2020,20.8
"MI",2020,20.8
"FL",2020,20.8
"AR",2017,20.8
"ME",2017,20.8
"AK",2015,20.8
"NM",2014,20.8
"NC",2014,20.8
"WV",2015,20.8
"MN",2014,20.8
"CT",2012,20.8
"WI",2015,20.8
"ND",2013,20.8
"KS",2012,20.8
"IL",2012,20.8
"AZ",2012,20.8
"KS",2019,20.8
"MN",2019,20.8
"WA",2012,20.8
"KY",2019,20.8
"MA",2015,20.8
"NH",2012,20.8
"PA",2012,20.8
"CT",2019,20.8
"MI",2019,20.8
"MD",2012,20.8
"WI",2019,20.8
"HI",2014,20.8
"ID",2015,20.8
"NE",2011,20.8
"AL",2011,20.8
"OH",2011,20.8
"OR",2011,20.8
"OR",2014,20.8
"NV",2011,20.8
"TN",2014,20.8
"KY",2014,20.8
"ND",2016,20.8
"IN",2016,20.8
"VT",2016,20.8
