"State","Year","Obese Adults (%)"
"SC",2014,27.1
"NY",2019,27.1
"VT",2019,27.1
"UT",2015,27.1
"UT",2013,27.1
"OR",2014,27.1
"CA",2019,27.1
"VA",2013,27.1
"AZ",2015,27.1
"AR",2012,27.1
"KY",2012,27.1
"NM",2013,27.1
"AL",2011,27.1
"WA",2015,27.1
"IL",2011,27.1
"MA",2014,27.1
"OR",2014,27.1
"MN",2013,27.1
"HI",2011,27.1
"ND",2015,27.1
"CO",2014,27.1
"GA",2011,27.1
"OK",2015,27.1
"NH",2015,27.1
"HI",2015,27.1
"FL",2015,27.1
"TX",2013,27.1
"AZ",2013,27.1
"NJ",2013,27.1
"IA",2014,27.1
"OR",2011,27.1
"NM",2012,27.1
"LA",2013,27.1
"NM",2012,27.1
"WY",2016,27.1
"ID",2016,27.1
"NH",2016,27.1
"WI",2016,27.1
"RI",2016,27.1
"NV",2021,27.1
"WI",2021,27.1
"NY",2021,27.1
"ID",2021,27.1
"MA",2021,27.1
"AK",2022,27.1
"NV",2022,27.1
"MT",2017,27.2
"ME",2018,27.2
"CA",2018,27.2
"AK",2018,27.2
"VT",2018,27.2
"CT",2020,27.2
"VT",2020,27.2
"MT",2020,27.2
"NH",2017,27.2
"NV",2017,27.2
"NC",2013,27.2
"AZ",2013,27.2
"SC",2012,27.2
"RI",2012,27.2
"MN",2012,27.2
"CT",2014,27.2
"VT",2017,27.2
"CT",2017,27.2
"NM",2017,27.2
"OR",2011,27.2
"SC",2012,27.2
"MA",2013,27.2
"WY",2019,27.2
"IL",2012,27.2
"AR",2013,27.2
"ME",2015,27.2
"FL",2019,27.2
"PA",2019,27.2
"WA",2013,27.2
"NE",2019,27.2
"AZ",2019,27.2
"MT",2014,27.2
"IL",2012,27.2
"DE",2011,27.2
"GA",2014,27.2
"ME",2013,27.2
"NJ",2012,27.2
"CA",2011,27.2
"TX",2013,27.2
"NE",2011,27.2
"FL",2014,27.2
"TX",2013,27.2
"NM",2011,27.2
"ID",2012,27.2
"WA",2015,27.2
"FL",2013,27.2
"VA",2013,27.2
"VA",2013,27.2
"TN",2012,27.2
"MN",2011,27.2
"NH",2015,27.2
"SD",2011,27.2
"AZ",2012,27.2
"MA",2013,27.2
"MA",2012,27.2
"FL",2011,27.2
"NV",2014,27.2
"WV",2012,27.2
"FL",2016,27.2
"MO",2016,27.2
"IN",2016,27.2
"FL",2016,27.2
"MT",2016,27.2
"NH",2016,27.2
"IN",2016,27.2
"WY",2016,27.2
"SC",2016,27.2
"VT",2016,27.2
"WA",2016,27.2
"DE",2016,27.2
"CO",2021,27.2
"MA",2022,27.2
"NC",2022,27.2
"MT",2018,27.3
"ID",2020,27.3
"NY",2018,27.3
"SC",2018,27.3
"CA",2016,27.3
"VA",2020,27.3
"NJ",2017,27.3
"NM",2017,27.3
"FL",2014,27.3
"VA",2012,27.3
"ID",2015,27.3
"ID",2015,27.3
"MT",2014,27.3
"LA",2013,27.3
"NY",2014,27.3
"WA",2012,27.3
"FL",2017,27.3
"MO",2012,27.3
"AK",2019,27.3
"WA",2015,27.3
"MT",2019,27.3
"WY",2019,27.3
"MT",2013,27.3
"GA",2013,27.3
"NE",2011,27.3
"NH",2013,27.3
"CT",2012,27.3
"VT",2011,27.3
"NH",2012,27.3
"OR",2012,27.3
"AK",2012,27.3
"OR",2012,27.3
"HI",2012,27.3
"NV",2012,27.3
"MN",2013,27.3
"NJ",2011,27.3
"ID",2012,27.3
"MA",2013,27.3
"RI",2013,27.3
"RI",2014,27.3
"NJ",2014,27.3
"NY",2011,27.3
"VA",2013,27.3
"WY",2013,27.3
"AZ",2013,27.3
"WA",2014,27.3
"NM",2013,27.3
"WY",2015,27.3
"NJ",2012,27.3
"ND",2012,27.3
"NM",2016,27.3
"SD",2016,27.3
"PA",2016,27.3
"KS",2016,27.3
"KS",2016,27.3
"MO",2016,27.3
"MD",2021,27.3
"OR",2021,27.3
"CO",2021,27.3
"NJ",2022,27.3
"VT",2022,27.3
"IL",2018,27.4
"NY",2018,27.4
"WY",2018,27.4
"CT",2018,27.4
"VT",2018,27.4
"MD",2018,27.4
"NM",2020,27.4
"ME",2020,27.4
"FL",2020,27.4
"IL",2020,27.4
"NV",2017,27.4
"VT",2017,27.4
"UT",2017,27.4
"NM",2017,27.4
"GA",2017,27.4
"KS",2017,27.4
"NH",2011,27.4
"NV",2014,27.4
"NV",2011,27.4
"NV",2011,27.4
"DE",2017,27.4
"UT",2015,27.4
"MN",2011,27.4
"TX",2019,27.4
"RI",2012,27.4
"UT",2019,27.4
"NJ",2015,27.4
"VA",2012,27.4
"CA",2013,27.4
"KS",2014,27.4
"HI",2019,27.4
"CO",2019,27.4
"MA",2015,27.4
"ME",2013,27.4
"AK",2011,27.4
"CA",2015,27.4
"WY",2015,27.4
"IA",2011,27.4
"WA",2015,27.4
"MN",2012,27.4
"NV",2012,27.4
"MT",2011,27.4
"GA",2013,27.4
"NH",2014,27.4
"WA",2015,27.4
"CA",2014,27.4
"ME",2012,27.4
"MN",2012,27.4
"WY",2013,27.4
"UT",2013,27.4
"FL",2011,27.4
"OR",2012,27.4
"HI",2012,27.4
"FL",2014,27.4
"MT",2016,27.4
"VT",2016,27.4
"FL",2016,27.4
"ID",2016,27.4
"NJ",2016,27.4
"CA",2016,27.4
"CT",2016,27.4
"UT",2021,27.4
"MN",2021,27.4
"MA",2021,27.4
"MA",2021,27.4
"AZ",2021,27.4
"AZ",2021,27.4
"IL",2022,27.4
"NH",2022,27.4
"NJ",2022,27.4
"VT",2022,27.4
"MA",2018,27.5
"FL",2018,27.5
"VT",2018,27.5
"MN",2018,27.5
"PA",2018,27.5
"AZ",2018,27.5
"RI",2018,27.5
"NC",2018,27.5
"MT",2020,27.5
"UT",2016,27.5
"UT",2020,27.5
"MS",2020,27.5
"FL",2020,27.5
"VT",2017,27.5
"NV",2011,27.5
"FL",2011,27.5
"NY",2011,27.5
"NM",2014,27.5
"NM",2013,27.5
"CA",2015,27.5
"NJ",2011,27.5
"SD",2012,27.5
"CT",2014,27.5
"CT",2011,27.5
"NM",2012,27.5
"TX",2019,27.5
"MN",2019,27.5
"VA",2012,27.5
"NC",2019,27.5
"NV",2014,27.5
"CO",2019,27.5
"MS",2012,27.5
"MT",2019,27.5
"DE",2014,27.5
"IN",2011,27.5
"WY",2013,27.5
"FL",2013,27.5
"NM",2013,27.5
"VA",2011,27.5
"KY",2014,27.5
"WA",2012,27.5
"MD",2011,27.5
"RI",2014,27.5
"OR",2015,27.5
"LA",2013,27.5
"UT",2012,27.5
"SD",2011,27.5
"SC",2015,27.5
"IL",2014,27.5
"MO",2015,27.5
"MA",2015,27.5
"MT",2015,27.5
"AK",2013,27.5
"ME",2015,27.5
"MI",2014,27.5
"FL",2016,27.5
"HI",2016,27.5
"NY",2016,27.5
"VA",2016,27.5
"CO",2021,27.5
"MT",2021,27.5
"NJ",2021,27.5
"CO",2021,27.5
"NM",2021,27.5
"OR",2021,27.5
"ME",2021,27.5
"FL",2022,27.5
"MA",2022,27.5
"MN",2016,27.6
"IL",2016,27.6
"CA",2018,27.6
"NV",2018,27.6
"CA",2018,27.6
"NY",2018,27.6
"PA",2018,27.6
"NC",2018,27.6
"DE",2018,27.6
"ID",2020,27.6
"FL",2016,27.6
"NM",2016,27.6
"CT",2020,27.6
"ID",2020,27.6
"OR",2020,27.6
"MT",2017,27.6
"HI",2017,27.6
"UT",2017,27.6
"CA",2011,27.6
"MA",2014,27.6
"ME",2011,27.6
"VT",2013,27.6
"UT",2015,27.6
"PA",2011,27.6
"CA",2011,27.6
"CO",2015,27.6
"NV",2014,27.6
"RI",2013,27.6
"AZ",2013,27.6
"TN",2012,27.6
"VT",2017,27.6
"CO",2017,27.6
"SD",2013,27.6
"FL",2017,27.6
"MA",2017,27.6
"DE",2012,27.6
"MO",2011,27.6
"OH",2011,27.6
"FL",2019,27.6
"NJ",2013,27.6
"NM",2019,27.6
"VT",2019,27.6
"TX",2013,27.6
"NJ",2012,27.6
"ID",2013,27.6
"AL",2013,27.6
"NE",2011,27.6
"IN",2014,27.6
"RI",2011,27.6
"IN",2014,27.6
"MN",2014,27.6
"AZ",2012,27.6
"LA",2014,27.6
"NJ",2014,27.6
"MD",2012,27.6
"ID",2011,27.6
"AZ",2015,27.6
"CT",2014,27.6
"MN",2014,27.6
"OR",2012,27.6
"NV",2011,27.6
"ID",2011,27.6
"SD",2013,27.6
"MD",2012,27.6
"VT",2013,27.6
"SC",2013,27.6
"CO",2016,27.6
"AK",2016,27.6
"MD",2016,27.6
"GA",2016,27.6
"AR",2016,27.6
"NC",2016,27.6
"NM",2016,27.6
"OH",2021,27.6
"CA",2021,27.6
"CO",2021,27.6
"AR",2022,27.6
"CO",2022,27.6
"CO",2022,27.6
"ME",2022,27.6
"MT",2022,27.6
"VA",2018,27.7
"UT",2018,27.7
"VT",2018,27.7
"RI",2018,27.7
"ME",2018,27.7
"SC",2018,27.7
"MT",2020,27.7
"OR",2020,27.7
"UT",2022,27.7
"FL",2020,27.7
"GA",2020,27.7
"NJ",2020,27.7
"SC",2017,27.7
"CO",2017,27.7
"RI",2017,27.7
"CO",2017,27.7
"CO",2017,27.7
"PA",2017,27.7
"VA",2014,27.7
"NM",2011,27.7
"TN",2015,27.7
"CT",2014,27.7
"WV",2011,27.7
"MT",2014,27.7
"NH",2012,27.7
"FL",2011,27.7
"WA",2013,27.7
"VT",2017,27.7
"WA",2017,27.7
"VT",2017,27.7
"NM",2017,27.7
"MA",2012,27.7
"WI",2011,27.7
"FL",2013,27.7
"FL",2015,27.7
"HI",2012,27.7
"CT",2015,27.7
"FL",2019,27.7
"MT",2013,27.7
"NY",2019,27.7
"DE",2014,27.7
"PA",2019,27.7
"ID",2014,27.7
"NV",2013,27.7
"GA",2012,27.7
"VT",2012,27.7
"UT",2014,27.7
"VT",2015,27.7
"WY",2015,27.7
"GA",2012,27.7
"SD",2013,27.7
"IL",2011,27.7
"UT",2013,27.7
"NV",2014,27.7
"OR",2013,27.7
"IL",2012,27.7
"NC",2015,27.7
"NH",2014,27.7
"ID",2012,27.7
"IL",2011,27.7
"KS",2014,27.7
"CA",2015,27.7
"FL",2016,27.7
"MA",2016,27.7
"OR",2016,27.7
"FL",2016,27.7
"MD",2016,27.7
"NM",2016,27.7
"WA",2016,27.7
"NM",2016,27.7
"NY",2016,27.7
"WY",2016,27.7
"WY",2016,27.7
"NV",2016,27.7
"MI",2016,27.7
"MA",2016,27.7
"ID",2021,27.7
"MA",2021,27.7
"MA",2021,27.7
"HI",2022,27.7
"VT",2022,27.7
"WA",2022,27.7
"NJ",2018,27.8
"AZ",2016,27.8
"MT",2018,27.8
"ID",2018,27.8
"WY",2018,27.8
"FL",2018,27.8
"MT",2018,27.8
"UT",2018,27.8
"MT",2020,27.8
"CA",2016,27.8
"HI",2020,27.8
"NC",2020,27.8
"SD",2017,27.8
"AZ",2017,27.8
"NJ",2013,27.8
"SD",2013,27.8
"MD",2013,27.8
"VA",2014,27.8
"MD",2014,27.8
"FL",2011,27.8
"NV",2011,27.8
"VT",2015,27.8
"NY",2014,27.8
"HI",2012,27.8
"IL",2017,27.8
"IA",2012,27.8
"ME",2017,27.8
"DE",2012,27.8
"UT",2019,27.8
"WY",2013,27.8
"OH",2012,27.8
"OR",2011,27.8
"NH",2015,27.8
"WY",2015,27.8
"VT",2015,27.8
"KS",2019,27.8
"MS",2019,27.8
"WA",2014,27.8
"RI",2019,27.8
"SC",2014,27.8
"SD",2012,27.8
"KS",2013,27.8
"CO",2019,27.8
"MI",2013,27.8
"NM",2011,27.8
"NH",2013,27.8
"PA",2013,27.8
"SC",2012,27.8
"AR",2011,27.8
"ME",2011,27.8
"ND",2011,27.8
"MA",2013,27.8
"AL",2012,27.8
"DE",2012,27.8
"MN",2012,27.8
"TX",2014,27.8
"VA",2015,27.8
"PA",2012,27.8
"AL",2011,27.8
"AK",2011,27.8
"MT",2013,27.8
"MD",2013,27.8
"MO",2012,27.8
"SC",2013,27.8
"MT",2011,27.8
"IL",2015,27.8
"ME",2011,27.8
"WV",2011,27.8
"MO",2011,27.8
"MN",2015,27.8
"RI",2012,27.8
"IA",2011,27.8
"MT",2016,27.8
"WI",2016,27.8
"FL",2016,27.8
"VA",2016,27.8
"IA",2016,27.8
"IL",2016,27.8
"MN",2016,27.8
"ME",2021,27.8
"CO",2021,27.8
"NH",2021,27.8
"CA",2021,27.8
"CO",2022,27.8
"VA",2022,27.8
"VT",2022,27.8
"NY",2018,27.9
"NV",2018,27.9
"LA",2018,27.9
"OR",2018,27.9
"MD",2018,27.9
"HI",2018,27.9
"ID",2018,27.9
"NV",2018,27.9
"IA",2018,27.9
"NH",2020,27.9
"CT",2020,27.9
"FL",2020,27.9
"WA",2020,27.9
"OK",2016,27.9
"MD",2017,27.9
"MD",2011,27.9
"MT",2012,27.9
"MO",2014,27.9
"DE",2015,27.9
"AR",2017,27.9
"UT",2017,27.9
"MT",2011,27.9
"NM",2017,27.9
"MO",2017,27.9
"DE",2017,27.9
"WA",2019,27.9
"ID",2013,27.9
"DE",2019,27.9
"MD",2014,27.9
"MS",2011,27.9
"WA",2013,27.9
"IA",2014,27.9
"SC",2019,27.9
"MD",2019,27.9
"IL",2013,27.9
"NV",2014,27.9
"CT",2012,27.9
"TN",2011,27.9
"WA",2014,27.9
"DE",2011,27.9
"LA",2014,27.9
"MN",2013,27.9
"NE",2015,27.9
"ME",2014,27.9
"GA",2015,27.9
"VT",2011,27.9
"UT",2012,27.9
"NV",2015,27.9
"WA",2011,27.9
"MN",2013,27.9
"TN",2014,27.9
"NY",2013,27.9
"RI",2011,27.9
"PA",2011,27.9
"NC",2015,27.9
"NM",2012,27.9
"IL",2014,27.9
"ID",2011,27.9
"CO",2015,27.9
"PA",2011,27.9
"OR",2014,27.9
"MN",2011,27.9
"RI",2015,27.9
"WA",2011,27.9
"ME",2011,27.9
"NC",2011,27.9
"RI",2014,27.9
"FL",2016,27.9
"VT",2016,27.9
"SD",2016,27.9
"AK",2016,27.9
"CT",2016,27.9
"UT",2016,27.9
"WY",2016,27.9
"NH",2021,27.9
"CA",2022,27.9
"MD",2022,27.9
"MT",2022,27.9
"OR",2022,27.9
"VT",2018,28
"FL",2018,28
"MI",2018,28
"WA",2018,28
"MN",2018,28
"VT",2018,28
"HI",2018,28
"AZ",2018,28
"WA",2020,28
"UT",2020,28
"WA",2020,28
"CO",2020,28
"FL",2020,28
"WA",2020,28
"TN",2020,28
"IA",2020,28
"UT",2020,28
"OH",2017,28
"NJ",2017,28
"VT",2017,28
"ND",2011,28
"CA",2017,28
"MA",2011,28
"IL",2011,28
"AZ",2015,28
"WA",2015,28
"NJ",2013,28
"FL",2015,28
"WY",2015,28
"MN",2012,28
"RI",2013,28
"NH",2015,28
"UT",2017,28
"AK",2011,28
"ID",2011,28
"OR",2012,28
"UT",2015,28
"NH",2019,28
"FL",2013,28
"WA",2019,28
"MA",2019,28
"WY",2011,28
"CA",2019,28
"IL",2012,28
"WA",2014,28
"IL",2013,28
"OH",2014,28
"NV",2011,28
"OR",2012,28
"MO",2013,28
"GA",2011,28
"UT",2011,28
"FL",2012,28
"CT",2012,28
"AL",2014,28
"AK",2014,28
"ID",2012,28
"OR",2013,28
"ME",2014,28
"NY",2013,28
"WI",2011,28
"MD",2015,28
"NM",2012,28
"ND",2013,28
"GA",2012,28
"TN",2011,28
"TN",2011,28
"IA",2015,28
"HI",2012,28
"NM",2012,28
"HI",2014,28
"NJ",2016,28
"WI",2016,28
"RI",2016,28
"VA",2016,28
"MT",2016,28
"DE",2016,28
"VT",2021,28
"ND",2021,28
"MN",2021,28
"CO",2021,28
"RI",2021,28
"AK",2022,28
"DE",2022,28
"MA",2022,28
"NH",2022,28
"MA",2018,28.1
"AK",2018,28.1
"NH",2018,28.1
"NV",2018,28.1
"OR",2020,28.1
"ID",2016,28.1
"PA",2020,28.1
"FL",2020,28.1
"NC",2017,28.1
"WY",2017,28.1
"DE",2015,28.1
"IL",2011,28.1
"NE",2014,28.1
"VT",2014,28.1
"KY",2014,28.1
"SD",2011,28.1
"ID",2017,28.1
"SD",2012,28.1
"VT",2013,28.1
"NY",2017,28.1
"AK",2015,28.1
"NE",2011,28.1
"NM",2017,28.1
"CA",2017,28.1
"NH",2017,28.1
"AZ",2012,28.1
"UT",2014,28.1
"NV",2019,28.1
"MN",2011,28.1
"HI",2019,28.1
"VA",2019,28.1
"OK",2015,28.1
"MA",2019,28.1
"NJ",2013,28.1
"SD",2012,28.1
"AZ",2019,28.1
"WI",2013,28.1
"ID",2019,28.1
"VT",2019,28.1
"IA",2019,28.1
"FL",2014,28.1
"KY",2014,28.1
"MO",2012,28.1
"UT",2013,28.1
"AK",2013,28.1
"UT",2011,28.1
"MD",2013,28.1
"NE",2013,28.1
"RI",2015,28.1
"ME",2014,28.1
"CA",2014,28.1
"VA",2012,28.1
"ME",2011,28.1
"WV",2011,28.1
"LA",2015,28.1
"NC",2013,28.1
"UT",2011,28.1
"SD",2014,28.1
"VT",2014,28.1
"FL",2012,28.1
"CT",2013,28.1
"IL",2012,28.1
"NM",2014,28.1
"NJ",2015,28.1
"AL",2014,28.1
"WV",2012,28.1
"NE",2012,28.1
"WA",2014,28.1
"ID",2015,28.1
"ID",2022,28.1
"NV",2016,28.1
"ID",2016,28.1
"MO",2016,28.1
"VT",2016,28.1
"AZ",2016,28.1
"WY",2016,28.1
"NJ",2021,28.1
"CA",2022,28.1
"FL",2022,28.1
"HI",2022,28.1
"MT",2022,28.1
"NY",2022,28.1
"UT",2022,28.1
"GA",2018,28.2
"SD",2018,28.2
"WY",2018,28.2
"VA",2020,28.2
"WY",2016,28.2
"MT",2020,28.2
"MN",2020,28.2
"UT",2020,28.2
"MO",2020,28.2
"RI",2012,28.2
"AK",2013,28.2
"AZ",2017,28.2
"VA",2017,28.2
"WY",2013,28.2
"LA",2013,28.2
"ME",2014,28.2
"MD",2015,28.2
"NE",2013,28.2
"OR",2011,28.2
"MS",2013,28.2
"NJ",2012,28.2
"FL",2017,28.2
"MI",2017,28.2
"MN",2011,28.2
"OK",2017,28.2
"NM",2012,28.2
"AL",2013,28.2
"WA",2017,28.2
"NY",2017,28.2
"WA",2011,28.2
"WI",2017,28.2
"OH",2011,28.2
"ID",2017,28.2
"CT",2019,28.2
"SC",2011,28.2
"ID",2019,28.2
"WA",2019,28.2
"VA",2019,28.2
"CT",2019,28.2
"MI",2011,28.2
"RI",2019,28.2
"FL",2019,28.2
"WI",2015,28.2
"CO",2013,28.2
"MN",2012,28.2
"HI",2011,28.2
"NY",2013,28.2
"SC",2015,28.2
"AZ",2015,28.2
"MN",2013,28.2
"AR",2013,28.2
"CO",2012,28.2
"RI",2014,28.2
"NJ",2011,28.2
"WI",2011,28.2
"ID",2011,28.2
"DE",2013,28.2
"OH",2015,28.2
"IA",2011,28.2
"CA",2022,28.2
"IA",2016,28.2
"KY",2021,28.2
"CO",2021,28.2
"NJ",2021,28.2
"NV",2021,28.2
"VT",2021,28.2
"NJ",2021,28.2
"AZ",2021,28.2
"CO",2022,28.2
"MA",2022,28.2
"NM",2016,28.3
"SD",2018,28.3
"AZ",2016,28.3
"PA",2018,28.3
"IL",2018,28.3
"NH",2018,28.3
"ID",2018,28.3
"WI",2018,28.3
"NH",2018,28.3
"WI",2020,28.3
"MD",2020,28.3
"VT",2020,28.3
"MN",2020,28.3
"NY",2020,28.3
"NY",2017,28.3
"NH",2017,28.3
"CA",2017,28.3
"MD",2011,28.3
"TX",2015,28.3
"TX",2012,28.3
"ME",2012,28.3
"NC",2014,28.3
"IN",2015,28.3
"IL",2012,28.3
"OH",2017,28.3
"RI",2015,28.3
"GA",2017,28.3
"RI",2017,28.3
"TN",2013,28.3
"CT",2019,28.3
"NH",2011,28.3
"NJ",2013,28.3
"WY",2014,28.3
"SC",2015,28.3
"WA",2019,28.3
"NE",2019,28.3
"OH",2011,28.3
"MT",2019,28.3
"ND",2011,28.3
"NM",2019,28.3
"NE",2012,28.3
"NE",2012,28.3
"IL",2012,28.3
"TX",2011,28.3
"OK",2013,28.3
"NC",2011,28.3
"IL",2013,28.3
"NV",2013,28.3
"CA",2013,28.3
"MO",2012,28.3
"SD",2011,28.3
"VA",2013,28.3
"AK",2014,28.3
"FL",2015,28.3
"IL",2011,28.3
"MD",2013,28.3
"MN",2015,28.3
"KY",2012,28.3
"LA",2012,28.3
"UT",2011,28.3
"NE",2011,28.3
"MA",2012,28.3
"CT",2012,28.3
"NE",2014,28.3
"MN",2013,28.3
"VA",2012,28.3
"GA",2015,28.3
"FL",2016,28.3
"MD",2016,28.3
"IA",2016,28.3
"WA",2016,28.3
"VT",2016,28.3
"MD",2016,28.3
"MD",2016,28.3
"WI",2021,28.3
"HI",2021,28.3
"GA",2021,28.3
"TX",2021,28.3
"WA",2021,28.3
"AZ",2021,28.3
"SC",2021,28.3
"NJ",2022,28.3
"CO",2018,28.4
"WI",2018,28.4
"ID",2018,28.4
"RI",2018,28.4
"CT",2018,28.4
"WY",2018,28.4
"FL",2020,28.4
"SD",2020,28.4
"CT",2020,28.4
"RI",2020,28.4
"UT",2020,28.4
"CT",2020,28.4
"KY",2020,28.4
"NM",2017,28.4
"NH",2017,28.4
"MN",2017,28.4
"FL",2017,28.4
"MN",2017,28.4
"MT",2017,28.4
"VA",2017,28.4
"NY",2017,28.4
"FL",2013,28.4
"MA",2013,28.4
"OR",2013,28.4
"WA",2011,28.4
"NH",2014,28.4
"IL",2015,28.4
"ME",2013,28.4
"AL",2013,28.4
"UT",2014,28.4
"MA",2014,28.4
"FL",2014,28.4
"NE",2011,28.4
"AL",2012,28.4
"PA",2012,28.4
"UT",2017,28.4
"NE",2013,28.4
"KY",2017,28.4
"VT",2013,28.4
"IN",2015,28.4
"ID",2019,28.4
"SD",2011,28.4
"OR",2019,28.4
"SD",2015,28.4
"ND",2013,28.4
"VT",2019,28.4
"ID",2013,28.4
"OR",2014,28.4
"OR",2019,28.4
"MI",2014,28.4
"OR",2019,28.4
"NH",2012,28.4
"WA",2014,28.4
"AZ",2015,28.4
"AZ",2014,28.4
"ME",2011,28.4
"OH",2015,28.4
"AK",2015,28.4
"CT",2013,28.4
"MN",2011,28.4
"AZ",2015,28.4
"AK",2013,28.4
"IL",2012,28.4
"NM",2014,28.4
"SD",2012,28.4
"MN",2013,28.4
"ME",2012,28.4
"NH",2011,28.4
"OH",2014,28.4
"SC",2012,28.4
"MI",2011,28.4
"AK",2012,28.4
"GA",2012,28.4
"HI",2016,28.4
"MN",2016,28.4
"CA",2016,28.4
"DE",2016,28.4
"RI",2016,28.4
"HI",2021,28.4
"NY",2021,28.4
"AR",2021,28.4
"WA",2021,28.4
"CA",2022,28.4
"CT",2022,28.4
"ME",2022,28.4
"RI",2018,28.5
"MT",2018,28.5
"AK",2018,28.5
"SD",2018,28.5
"CA",2018,28.5
"OR",2020,28.5
"NY",2020,28.5
"MT",2020,28.5
"MD",2020,28.5
"MA",2017,28.5
"NV",2017,28.5
"WA",2017,28.5
"VA",2017,28.5
"CO",2017,28.5
"UT",2015,28.5
"VA",2014,28.5
"GA",2013,28.5
"SD",2012,28.5
"NH",2013,28.5
"MN",2012,28.5
"CT",2013,28.5
"ND",2013,28.5
"SC",2015,28.5
"NH",2014,28.5
"IA",2011,28.5
"NY",2011,28.5
"AR",2017,28.5
"HI",2017,28.5
"NM",2017,28.5
"RI",2012,28.5
"OR",2019,28.5
"NJ",2014,28.5
"WY",2019,28.5
"IN",2015,28.5
"WA",2014,28.5
"CA",2015,28.5
"MO",2019,28.5
"FL",2012,28.5
"AZ",2019,28.5
"PA",2019,28.5
"RI",2013,28.5
"TX",2012,28.5
"SD",2015,28.5
"UT",2014,28.5
"WY",2012,28.5
"WI",2015,28.5
"ND",2014,28.5
"NJ",2011,28.5
"NV",2013,28.5
"MT",2014,28.5
"MN",2015,28.5
"ME",2014,28.5
"WV",2011,28.5
"NM",2015,28.5
"AK",2022,28.5
"MN",2014,28.5
"VA",2016,28.5
"AZ",2016,28.5
"NJ",2016,28.5
"TN",2016,28.5
"ND",2021,28.5
"AK",2021,28.5
"NY",2021,28.5
"GA",2021,28.5
"NM",2021,28.5
"CO",2021,28.5
"NM",2021,28.5
"CT",2018,28.6
"MD",2018,28.6
"FL",2020,28.6
"UT",2020,28.6
"MI",2020,28.6
"NJ",2020,28.6
"IL",2020,28.6
"MA",2020,28.6
"WY",2020,28.6
"MO",2020,28.6
"OR",2020,28.6
"UT",2020,28.6
"UT",2020,28.6
"HI",2017,28.6
"WY",2017,28.6
"NY",2017,28.6
"AK",2017,28.6
"NJ",2017,28.6
"UT",2014,28.6
"NM",2012,28.6
"NC",2013,28.6
"NH",2011,28.6
"ND",2013,28.6
"MN",2011,28.6
"SC",2011,28.6
"AK",2014,28.6
"OH",2013,28.6
"SD",2015,28.6
"NE",2014,28.6
"CA",2014,28.6
"MI",2011,28.6
"WA",2012,28.6
"WA",2011,28.6
"VA",2011,28.6
"ID",2015,28.6
"VT",2017,28.6
"WY",2017,28.6
"MT",2014,28.6
"DE",2011,28.6
"CT",2017,28.6
"NM",2017,28.6
"SD",2013,28.6
"NJ",2017,28.6
"MI",2017,28.6
"IN",2017,28.6
"CT",2011,28.6
"NY",2019,28.6
"AK",2019,28.6
"ID",2019,28.6
"NY",2014,28.6
"AZ",2019,28.6
"WY",2015,28.6
"NV",2019,28.6
"CA",2019,28.6
"NY",2015,28.6
"IL",2012,28.6
"GA",2014,28.6
"ID",2011,28.6
"NE",2012,28.6
"TN",2014,28.6
"VT",2013,28.6
"VT",2011,28.6
"CO",2012,28.6
"SC",2015,28.6
"CT",2013,28.6
"DE",2012,28.6
"AL",2011,28.6
"GA",2011,28.6
"PA",2011,28.6
"OK",2011,28.6
"MN",2012,28.6
"IA",2012,28.6
"MT",2015,28.6
"CT",2013,28.6
"MN",2016,28.6
"NC",2016,28.6
"WA",2016,28.6
"TN",2016,28.6
"IA",2016,28.6
"MD",2016,28.6
"AR",2016,28.6
"NJ",2016,28.6
"MA",2016,28.6
"GA",2021,28.6
"VT",2021,28.6
"OR",2021,28.6
"CA",2022,28.6
"CT",2022,28.6
"MA",2022,28.6
"SC",2022,28.6
"SC",2016,28.7
"WA",2018,28.7
"AZ",2018,28.7
"SD",2018,28.7
"HI",2018,28.7
"SC",2018,28.7
"TN",2018,28.7
"UT",2018,28.7
"WI",2018,28.7
"GA",2018,28.7
"VT",2020,28.7
"CO",2020,28.7
"NE",2020,28.7
"CO",2020,28.7
"FL",2020,28.7
"UT",2020,28.7
"WY",2020,28.7
"NV",2020,28.7
"ND",2017,28.7
"IN",2017,28.7
"DE",2017,28.7
"CA",2017,28.7
"MD",2017,28.7
"FL",2017,28.7
"WY",2011,28.7
"KY",2012,28.7
"CT",2012,28.7
"OH",2015,28.7
"FL",2015,28.7
"LA",2013,28.7
"MD",2012,28.7
"SD",2012,28.7
"VT",2011,28.7
"OH",2011,28.7
"WI",2014,28.7
"SC",2017,28.7
"AR",2014,28.7
"OR",2017,28.7
"ND",2011,28.7
"MN",2013,28.7
"WA",2019,28.7
"HI",2019,28.7
"ME",2019,28.7
"WY",2019,28.7
"WA",2011,28.7
"MA",2019,28.7
"ID",2014,28.7
"CT",2012,28.7
"NH",2019,28.7
"TX",2019,28.7
"CA",2012,28.7
"FL",2015,28.7
"OR",2014,28.7
"RI",2011,28.7
"MD",2011,28.7
"NH",2013,28.7
"ID",2014,28.7
"NE",2014,28.7
"NY",2012,28.7
"KS",2014,28.7
"VT",2011,28.7
"MA",2015,28.7
"SD",2012,28.7
"CT",2011,28.7
"NH",2013,28.7
"FL",2013,28.7
"KY",2011,28.7
"ME",2013,28.7
"MN",2011,28.7
"ID",2015,28.7
